#,Project,Sponsor,TOC Presentation,Accepted,Year Accepted,Stage,CLA,Governance,Security Disclosure,Security Audit,CoC,Slack,Github URL
18,SPIFFE,"Brian Grant, Sam Lambert, Ken Owens",11/7/17,3/29/18,2018,Graduation,No - DCO,Yes,No,No,Yes,https://spiffe.slack.com/#/,Netlify
19,OPA,"Brian Grant, Ken Owens",11/14/17,3/29/18,2018,Graduation,No - DCO,Yes,"Yes, email address","Trail of Bits,Cure53",Yes,https://openpolicyagent.slack.com/#/,Netlify
20,CloudEvents,"Ken Owens, Brian Grant",5/15/18,5/15/18,2018,Incubation,No - DCO ,Yes,No,No,No,N/A,Netlify
21,Telepresence,"Alexis Richardson, Camille Fournier",4/17/18,5/22/18,2018,Sandbox,No,Yes,No,No,No,https://datawire-oss.slack.com/,GitBook
22,Helm,Brian Grant,5/15/18,6/1/18,2018,Graduation,No - DCO,Yes,"Yes, email address",No,Yes,Kubernetes,Netlify
23,Harbor,"Quinton Hoole, Ken Owens",6/19/18,7/31/18,2018,Graduation,No - DCO,No,No,No,No,CNCF,Netlify
24,OpenMetrics,"Alexis Richardson, Bryan Cantrill",6/20/17,8/10/18,2018,Incubation,No,No,No,No,No,N/A,Netlify
25,Cortex,"Ken Owens, Bryan Cantrill",6/5/18,9/20/18,2018,Incubation,No - DCO,Yes,No,No,Yes,CNCF,Netlify
26,Buildpacks,"Brian Grant, Alexis Richardson",8/21/18,10/3/18,2018,Incubation,No,No,No,No,No,https://buildpacks.slack.com/#/,Unknown
27,Falco,"Brian Grant, Quinton Hoole",7/17/18,10/10/18,2018,Incubation,Yes,Yes,No,No,Yes,Kubernetes,Netlify
28,Dragonfly,"Jonathan Boulle, Benjamin Hindman",9/4/18,11/15/18,2018,Incubation,No,No,"Yes, corporate email address",No,Yes -- personal email address for reporting,https://gitter.im/alibaba/Dragonfly,GitHub Pages
29,Virtual Kubelet,"Alexis Richardson, Quinton Hoole",9/18/18,12/4/18,2018,Sandbox,Yes,No,No,No,https://github.com/virtual-kubelet/virtual-kubelet#contributing,Kubernetes,Netlify
30,etcd,Brian Grant,8/7/18,12/11/18,2018,Graduation,No - DCO,No,Yes - needs review,No,Yes  - corporate addresses for reporting,IRC,Netlify
31,TiKV,"Ben Hindman, Bryan Cantrill",7/3/18,8/28/18,2018,Graduation,No - DCO ,Yes,No,No,Yes  -corporate email for reporting,tikv-wg.slack.com,Netlify
32,KubeEdge,"Brendan Burns, Quinton Hoole",3/12/19,3/18/19,2019,Incubation,No,No,No,No,Yes,https://kubeedge.slack.com/,Netlify
33,Brigade,"Brendan Burns, Quinton Hoole",3/12/19,3/18/19,2019,Archived,No - DCO,Yes,No,No,Yes,CNCF,Netlify
34,Network Service Mesh,"Joe Beda, Matt Klein",4/9/19,4/11/19,2019,Sandbox,No,No,No,No,No,CNCF,Netlify
35,OpenTelemetry,"Brendan Burns, Brian Grant, Matt Klein",5/7/19,5/7/19,2019,Incubation,Yes,Yes,No,No,Yes,https://gitter.im/open-telemetry/community,Netlify
36,OpenEBS,"Alexis Richardson, Xiang Li",5/14/19,5/14/19,2019,Sandbox,No - DCO ,Yes,No,No,Yes,CNCF + Kubernetes,Netlify
37,CRI-O,Brendan Burns,3/12/19,4/18/19,2019,Incubation,No - DCO ,No,Yes,No,Yes,Kubernetes,GitHub Pages
38,SPIRE,"Brian Grant, Sam Lambert, Ken Owens",11/7/17,3/29/18,2018,Graduation,Yes,Yes,No,No,Yes,https://spiffe.slack.com/,Netlify
39,Thanos,"Liz Rice, Alexis Richardson, Xiang Li, Joe Beda",7/9/19,7/9/19,2019,Incubation,No,Yes,No,No,Yes,CNCF,Netlify
40,Flux,"Michelle Noorali, Xiang Li",6/11/19,7/15/19,2019,Incubation,DCO,No,No,No,Yes,CNCF,Netlify
41,In-Toto,"Liz Rice, Michelle Noorali",7/9/19,8/21/19,2019,Incubation,DCO,Yes,No,No,Yes,IRC,Netlify
42,Strimzi,"Matt Klein, Alexis Richardson",4/9/19,8/28/19,2019,Sandbox,No,Yes,No,No,Yes,CNCF,GitHub Pages
43,KubeVirt,"Brian Grant, Liz Rice",7/9/19,9/9/19,2019,Incubation,DCO,Yes,No,No,Yes,Kubernetes,Netlify
44,Longhorn,"Alexis Richardson, Liz Rice",7/9/19,10/11/19,2019,Incubation,DCO,Yes,No,No,Yes,CNCF,Netlify
45,ChubaoFS,"Alexis Richardson, ",12/3/19,12/17/19,2019,Sandbox,DCO,Yes,No,No,Yes,https://chubaofs.slack.com/#/,Netlify
46,Keda,"Liz Rice, Michelle Noorali, Xiang Li",2/20/2020 -  SIG-Runtime,3/9/20,2020,Incubation,DCO,Yes,No,No,Yes,Kubernetes,Netlify
47,Service Mesh Interface,"Jeff Brewer, Brendan Burns, Matt Klein",1/16/2020- SIG-Network,3/16/20,2020,Sandbox,DCO,Yes,No,No,Yes,CNCF,Netlify
48,Argo,"Jeff Brewer, Michelle Noorali, Xiang Li",9/24/19 - SIG App Delivery,4/7/20,2020,Incubation,CLA,No,Yes,No,Yes,https://argoproj.slack.com/,Netlify
49,Volcano,"Alena Prokharchyk, Liz Rice, Sheng Liang",SIG-Runtime,4/10/20,2020,Incubation,No,Yes,Yes,No,Yes,CNCF,Netlify
50,CNI-Genie,N/A,N/A,6/23/20,2020,Sandbox,No,No,No,No,Yes,No,
51,Keptn,N/A,N/A,6/23/20,2020,Incubation,No,Yes,No,No,Yes,slack.keptn.sh & CNCF channel,
52,Kudo,N/A,N/A,6/23/20,2020,Sandbox,DCO,No,Yes,No,Yes,Kubernetes,
53,Cloud Custodian,N/A,N/A,6/23/20,2020,Sandbox,CLA - Capital One,No,Yes,No,Yes,Gitter,
54,Dex,N/A,N/A,6/23/20,2020,Sandbox,DCO,No,Yes - CoreOS,No,Yes. - CoreOS,Kubernetes,Netlify
55,LitmusChaos,N/A,N/A,6/23/20,2020,Incubation,DCO,Yes,No,No,Yes,https://slack.litmuschaos.io/,
56,Artifact Hub,N/A,N/A,6/23/20,2020,Sandbox,DCO,No,Yes,No,Yes,CNCF,
57,Kuma,N/A,N/A,6/23/20,2020,Sandbox,DCO,Yes,No,No,Yes,Community + Slack Chat,
58,Parsec,N/A,N/A,6/23/20,2020,Sandbox,No,No,No,No,Yes,CNCF,Netlify
59,BFE,N/A,N/A,6/23/20,2020,Sandbox,CLA - BFE,Yes,No,No,Yes,bfe-network.slack ,
60,Crossplane,N/A,N/A,6/23/20,2020,Incubation,DCO,Yes,No,No,Yes,https://slack.crossplane.io/,
61,Contour,N/A,N/A,7/7/20,2020,Incubation,DCO,No,Yes,No,Yes,Kubernetes,
62,Operator Framework SDK,N/A,N/A,7/9/20,2020,Incubation,No,No,Yes,No,Yes -- Red Hat,None,Netlify
63,Operator Framework Lifecycle Manager,N/A,N/A,7/9/20,2020,Incubation,No,No,No,No,Yes - CoreOS,None,
64,ChaosMesh,N/A,N/A,7/14/20,2020,Incubation,No,No,No,No,Yes,CNCF,
65,Serverless Workflow Specification,N/A,N/A,7/14/20,2020,Sandbox,No,Yes,No,No,CNCF,CNCF,
66,k3s,N/A,N/A,8/19/20,2020,Sandbox,DCO,No,Yes,No,Yes,https://slack.rancher.io/,
67,Backstage,N/A,N/A,9/8/20,2020,Incubation,No,Yes,Yes,No,Yes. - Spotify FOSS ,Discord,
68,Tremor,N/A,N/A,9/8/20,2020,Sandbox,No,No,Yes,No,Yes,tremor-debs slack,
69,metal3-io,N/A,N/A,9/8/20,2020,Sandbox,DCO,No,No,No,Yes,Kubernetes,
70,Porter,N/A,N/A,9/8/20,2020,Sandbox,DCO,Yes,No,No,Yes,https://porter.sh/community/#slack,
71,OpenYurt,N/A,N/A,9/8/20,2020,Sandbox,No,Yes,No,No,Yes,openyurt slack,
72,Open Service Mesh   ,N/A,N/A,9/8/20,2020,Sandbox,CLA - Microsoft,No,No,No,Yes,CNCF,
73,Keylime,N/A,N/A,9/22/20,2020,Sandbox,No,Yes,Yes,No,Yes,Gitter,
74,SchemaHero,N/A,N/A,11/10/20,2020,Sandbox,No,No,No,No,Yes,Kubernetes,
75,Cloud Development Kit for Kubernetes (cdk8s),N/A,N/A,11/10/20,2020,Sandbox,No,No,Yes,No,Yes,https://cdk.dev/,
76,cert-manager,N/A,N/A,11/10/20,2020,Sandbox,DCO,No,No,No,Yes,Kubernetes,
77,OpenKruise,N/A,N/A,11/10/20,2020,Sandbox,No,Yes,No,No,Yes,kruise-workspace,
78,Tinkerbell ,N/A,N/A,11/10/20,2020,Sandbox,No,No,No,No,Yes,https://tinkerbell.org/community/slack/,
79,Pravega,N/A,N/A,11/10/20,2020,Sandbox,DCO,No,No,No,Yes,https://pravega.io/#,
80,Kyverno,N/A,N/A,11/10/20,2020,Sandbox,No,No,No,No,Yes,Kubernetes,
81,OpenGitOps,N/A,N/A,1/26/21,2021,Sandbox,DCO,Yes,N/A,No,Yes,CNCF Slack,
82,Piraeus-Datastore,N/A,N/A,1/26/21,2021,Sandbox,No,Yes,No,No,Yes,Piraeas,
83,Curiefense,N/A,N/A,1/26/21,2021,Sandbox,No,No,Yes ,No,Yes,,
84,Athenz,N/A,N/A,1/26/21,2021,Sandbox,DCO,Yes,Yes,No,Yes,,
85,Kube-OVN,N/A,N/A,1/26/21,2021,Sandbox,No,No,No,No,Yes,Kube-OVN Slack,
86,Skooner,N/A,N/A,1/26/21,2021,Sandbox,No,No,No,No,Yes,,
87,Distribution,N/A,N/A,1/26/21,2021,Sandbox,DCO,Yes,No,No,Yes,CNCF Slack,
88,Fonio,,,3/30/21,2021,Sandbox,No,No,No,No,Yes,,
89,Kuberhealthy,,,3/30/21,2021,Sandbox,CLA,No,No,No,Yes,,
90,k8gb ,,,3/30/21,2021,Sandbox,No,No,No,No,Yes,,
91,Trickster ,,,3/30/21,2021,Sandbox,CLA,No,No,No,Yes,,
92,Emissary-ingress,,,4/13/21,2021,Incubation,No,Yes,No,No,Yes,https://datawire-oss.slack.com/,
93,Vineyard,,,4/27/21,2021,Sandbox,DCO,No,Yes,No,Yes,CNCF slack,https://github.com/v6d-io
94,WasmEdge Runtime,,,4/27/21,2021,Sandbox,DCO,No,Yes,No,Yes,CNCF slack,https://github.com/WasmEdge
95,ChaosBlade,,,4/27/21,2021,Sandbox,DCO,Yes,No,No,Yes,https://chaosblade-io.slack.com/,https://github.com/chaosblade-io
96,Fluid,,,4/27/21,2021,Sandbox,DCO,Yes,Yes,No,Yes,CNCF slack,https://github.com/fluid-cloudnative
97,Submariner,,,4/27/21,2021,Sandbox,DCO,Yes,Yes,No,Yes,Kubernetes slack,https://github.com/submariner-io
98,Antrea,,,4/27/21,2021,Sandbox,DCO,Yes,Yes,No,Yes,Kubernetes slack,https://github.com/antrea-io
99,Pixie,,,6/22/21,2021,Sandbox,DCO,Yes,No,No,Yes,https://slackin.px.dev/,https://github.com/pixie-labs/pixie
100,Meshery,,,6/22/21,2021,Sandbox,DCO,Yes,Yes,No,Yes,Layer5 Slack,https://github.com/Meshery
101,Service Mesh Performance,,,6/22/21,2021,Sandbox,DCO,Yes,No,No,Yes,Layer5 Slack,https://github.com/service-mesh-performance/service-mesh-performance
102,KubeVela,,,6/25/21,2021,Sandbox,CLA,No,Yes,No,Yes,CNCF Slack,https://github.com/oam-dev/kubevela
103,kube-vip,,,6/22/21,2021,Sandbox,No,No,No,No,Yes,N/A,https://github.com/kube-vip
104,KubeDL,,,6/22/21,2021,Sandbox,CLA,Yes,Yes,No,Yes,CNCF Slack,https://github.com/alibaba/kubedl
105,Krustlet,,,7/13/21,2021,Sandbox,CLA,No,No,No,Yes,https://kubernetes.slack.com/messages/krustlet,
106,Krator,,,7/13/21,2021,Sandbox,,No,Yes,No,Yes,https://kubernetes.slack.com/messages/krator,https://github.com/krator-rs/krator
107,ORAS (OCI Registry as Storage),,,7/13/21,2021,Sandbox,DCO,Yes,No,No,Yes,CNCF,https://github.com/oras-project
108,wasmCloud,,,7/13/21,2021,Sandbox,DCO,No,No,No,Yes,,https://github.com/wasmCloud/wasmCloud/
109,Akri,,,9/14/21,2021,Sandbox,CLA,No,No,No,Yes,https://kubernetes.slack.com/messages/akri,https://github.com/deislabs/akri
110,MetalLB,,,9/14/21,2021,Sandbox,DCO,No,Yes,No,Yes,K8s,https://github.com/metallb/metallb
111,karmada,,,9/14/21,2021,Sandbox,None,No,No,No,Yes,https://join.slack.com/t/karmada-io/shared_invite/zt-omhy1wfa-LmAkCLfpDMnBjVXp3_U~0w,https://github.com/karmada-io/karmada
112,Inclavare Containers,,,9/14/21,2021,Sandbox,CLA,Yes,Yes,No,Yes,CNCF Slack,https://github.com/alibaba/inclavare-containers
113,SuperEdge,,,9/14/21,2021,Sandbox,None,No,Yes,No,Yes,Closed slack,https://github.com/superedge/superedge
114,Cilium,,,10/13/21,2021,Incubation,DCO,Yes,Yes,No,Yes,https://cilium.herokuapp.com/,https://github.com/cilium/cilium
115,Dapr,,,11/3/21,2021,Incubation,CLA,Yes,Yes,No,Yes,https://discord.com/invite/ptHhX6jc34,https://github.com/dapr
116,OpenELB,,,11/9/21,2021,Sandbox,None,No,No,No,Yes,https://kubesphere.slack.com/,https://github.com/kubesphere/openelb
117,Open Cluster Management,,,11/9/21,2021,Sandbox,DCO,Yes,Yes,No,Yes,K8s,https://github.com/open-cluster-management-io/community
118,VS Code Kubernetes Tools,,,11/9/21,2021,Sandbox,CLA,No,Yes,No,Yes,N/A? ,https://github.com/Azure/vscode-kubernetes-tools
119,Nocalhost,,,11/16/21,2021,Sandbox,No,No,No,No,Yes,https://nocalhost.slack.com/,
120,KubeArmor,,,11/16/21,2021,Sandbox,No,No,No,No,Yes,https://kubearmor.herokuapp.com/,https://github.com/kubearmor/KubeArmor
121,K8up,,,11/16/21,2021,Sandbox,No,No,No,No,Yes,N/A? ,https://github.com/k8up-io/k8up
122,kube-rs,,,11/16/21,2021,Sandbox,DCO,No,Yes,No,Yes,Discord,https://github.com/kube-rs/kube-rs
123,Devfile,,,1/11/22,2022,Sandbox,No,No,No,No,Yes,N/A? ,https://github.com/devfile/api
124,Knative,,,3/2/22,2022,Incubation,Yes,Yes,Yes,No,Yes,Knative Slack,https://github.com/knative/docs/
125,Confidential Containers,,,3/8/22,2022,Sandbox,DCO,No,No,No,Yes,Kata Containers,https://github.com/confidential-containers
126,FabEdge,,,3/8/22,2022,Sandbox,No,No,No,No,Yes,No,https://github.com/FabEdge/fabedge/
127,OpenFunction,,,4/26/22,2022,Sandbox,No,No,No,No,Yes,#sig-serverless (Kubesphere slack),https://github.com/OpenFunction/OpenFunction
128,Teller ,,,4/26/22,2022,Sandbox,No,No,No,No,Yes,N/A,https://github.com/SpectralOps/teller
129,sealer,,,4/26/22,2022,Sandbox,No,No,Yes,No,Yes,N/A,https://github.com/alibaba/sealer
130,Clusterpedia,,,6/13/22,2022,Sandbox,No,No,No,No,Yes,CNCF,https://github.com/clusterpedia-io/clusterpedia
131,OpenCost,,,6/13/22,2022,Sandbox,DCO,No,No,No,Yes,CNCF, https://github.com/kubecost/cost-model 
132,Aeraki Mesh,,,6/13/22,2022,Sandbox,CLA,Yes,Yes,No,Yes,CNCF,https://github.com/aeraki-mesh/aeraki
133,Curve,,,6/13/22,2022,Sandbox,No,No,No,No,Yes,CNCF,https://github.com/opencurve/curve
134,OpenFeature,,,6/13/22,2022,Sandbox,DCO,Yes,No,No,Yes,CNCF,https://github.com/open-feature
135,kubewarden,,,6/13/22,2022,Sandbox,No,No,No,No,Yes,Kubernetes,https://github.com/kubewarden
136,DevStream,,,6/13/22,2022,Sandbox,DCO,Yes,Yes,No,Yes,CNCF,https://github.com/devstream-io/devstream
137,Hexa,,,7/26/22,2022,Sandbox,CLA,No,Yes,No,Yes,N/A,https://github.com/hexa-org/policy-orchestrator  
138,Konveyor,,,7/26/22,2022,Sandbox,Red Hat-COP,No,No,No,Yes,Kubernetes,https://github.com/konveyor
139,Armada,,,7/26/22,2022,Sandbox,No,No,No,No,Yes,GH discussions,https://github.com/armadaproject/armada
140,External Secrets Operator,,,7/26/22,2022,Sandbox,No,No,Yes,No,Yes,N/A,https://github.com/external-secrets/external-secrets
,,,,Sandbox,,88,,,,,,,
,,,,Incubation,,35,,,,,,,
,,,,Graduation,,16,,,,,,,
